,1,2,2.1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
195,20191223 603路,运通103路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,20191223 604路,运通104路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,20191223 608路,运通108路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,20191223 609路,运通109路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,20191223 613路,运通113路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,20191223 617路,运通117路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,20191223 623路,运通123路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,20191223 626路,运通126路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,20191223 628路,运通128路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,20191223 305路,运通105路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,20191223 420路,运通120路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,20191223 424路,运通124路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,20191223 491路,运通201路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,20191223 495路,运通205路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,20191223 492路,运通202路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,20191223 专139路,运动119路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,20191223 专141路,运动121路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,20191223 专142路,运动122路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,20191223 专145路,运动125路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,20191223 专147路,运动127路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,20191223 专149路,运动129路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,20191223 921路,运通101路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,20191223 932路,运通112路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,20191223 876路,运通116路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
